Stkcd,Accper,Typrep,B002000000
626,3/31/2015,A,313924812.9
627,9/30/2015,A,-54720307.09
627,6/30/2015,A,-36869514.93
627,3/31/2015,A,-20088345.76
628,9/30/2015,A,-12892551.33
628,6/30/2015,A,-12196528.67
628,3/31/2015,A,-10333962.31
629,9/30/2015,A,-1045326802
629,6/30/2015,A,-588933239.8
629,3/31/2015,A,-385597058.4
630,9/30/2015,A,214790256.3
630,6/30/2015,A,310873725.3
630,3/31/2015,A,68940942.54
631,9/30/2015,A,236348734.1
631,6/30/2015,A,215071083.4
631,3/31/2015,A,166565160.7
632,9/30/2015,A,14426613.65
632,6/30/2015,A,4939693.98
632,3/31/2015,A,7944176.31
633,9/30/2015,A,-19558828.42
633,6/30/2015,A,-13797777.33
633,3/31/2015,A,-4787609.58
635,9/30/2015,A,25669471.31
635,6/30/2015,A,27894268.85
635,3/31/2015,A,4255212.76
636,9/30/2015,A,46375629.63
636,6/30/2015,A,42011128.57
636,3/31/2015,A,4186495.84
637,9/30/2015,A,114007106.7
637,6/30/2015,A,74488961.95
637,3/31/2015,A,21072958.36
638,9/30/2015,A,-8955474.36
638,6/30/2015,A,-8270536.99
638,3/31/2015,A,-6218095.2
639,9/30/2015,A,126462037.8
639,6/30/2015,A,72291870.38
639,3/31/2015,A,49147084.71
650,9/30/2015,A,299154030.5
650,6/30/2015,A,185712627.3
650,3/31/2015,A,81224735.93
651,9/30/2015,A,10023135142
651,6/30/2015,A,5767928634
651,3/31/2015,A,2789905053
652,9/30/2015,A,57854591.79
652,6/30/2015,A,11554545.83
652,3/31/2015,A,-1538418.86
655,9/30/2015,A,-66066349.22
655,6/30/2015,A,-43695893.25
655,3/31/2015,A,-40093617.03
656,9/30/2015,A,828952268.3
656,6/30/2015,A,500483486.8
656,3/31/2015,A,94851907.82
657,9/30/2015,A,-166743038.2
657,6/30/2015,A,-132722205.9
657,3/31/2015,A,-84025343.77
659,9/30/2015,A,-8043986.16
659,6/30/2015,A,4283095.65
659,3/31/2015,A,-42325878.21
661,9/30/2015,A,432301258.7
661,6/30/2015,A,249991883.1
661,3/31/2015,A,130068797
662,9/30/2015,A,-603322.84
662,6/30/2015,A,-94594.61
662,3/31/2015,A,-382489.85
663,9/30/2015,A,8929476.99
663,6/30/2015,A,5330635.39
663,3/31/2015,A,147393.24
665,9/30/2015,A,273604204
665,6/30/2015,A,212010603.6
665,3/31/2015,A,97092103.57
666,9/30/2015,A,1584672902
666,6/30/2015,A,1039396086
666,3/31/2015,A,441609431.7
667,9/30/2015,A,157951238.3
667,6/30/2015,A,33380909.99
667,3/31/2015,A,9191636.47
668,9/30/2015,A,-6418603.17
668,6/30/2015,A,-3436065.01
668,3/31/2015,A,-9649556.8
669,9/30/2015,A,250907382.1
669,6/30/2015,A,155333193.4
669,3/31/2015,A,77770950.78
670,9/30/2015,A,-26530658.36
670,6/30/2015,A,-30589022.14
670,3/31/2015,A,3220883.69
671,9/30/2015,A,637354267
671,6/30/2015,A,306963482.2
671,3/31/2015,A,158195468.7
672,9/30/2015,A,35302682.59
672,6/30/2015,A,53109065.3
672,3/31/2015,A,29194832.65
673,9/30/2015,A,66681740.01
673,6/30/2015,A,25872548.55
673,3/31/2015,A,-5063276.28
676,9/30/2015,A,-22943889.04
676,6/30/2015,A,-25498913.41
676,3/31/2015,A,-7436678.53
677,9/30/2015,A,-240578576.2
677,6/30/2015,A,-174843768.6
677,3/31/2015,A,-87591118.08
678,9/30/2015,A,-27653785.71
678,6/30/2015,A,-9857451.42
678,3/31/2015,A,-3198079.9
679,9/30/2015,A,138027923.9
679,6/30/2015,A,144958977.6
679,3/31/2015,A,145696902.2
680,9/30/2015,A,-506414784
680,6/30/2015,A,-334494718.3
680,3/31/2015,A,-80431685.25
681,9/30/2015,A,90256988.61
681,6/30/2015,A,47124217.07
681,3/31/2015,A,18906816.79
682,9/30/2015,A,67534418.11
682,6/30/2015,A,48505847.33
682,3/31/2015,A,19303611.12
683,9/30/2015,A,115009070.9
683,6/30/2015,A,109025685.7
683,3/31/2015,A,47001813.67
685,9/30/2015,A,1212154730
685,6/30/2015,A,953070286
685,3/31/2015,A,348070203.7
686,9/30/2015,A,2266895690
686,6/30/2015,A,1852777089
686,3/31/2015,A,552719693.5
687,9/30/2015,A,11315053.64
687,6/30/2015,A,5537746.02
687,3/31/2015,A,-49811024.02
688,9/30/2015,A,117634525
688,6/30/2015,A,95030697.81
688,3/31/2015,A,13819542.49
690,9/30/2015,A,506457626.4
690,6/30/2015,A,372408360.6
690,3/31/2015,A,150980041.5
691,9/30/2015,A,-703298.97
691,6/30/2015,A,-1990265.03
691,3/31/2015,A,332584
692,9/30/2015,A,-37074846.4
692,6/30/2015,A,52275437.34
692,3/31/2015,A,135894027.7
693,9/30/2015,A,96170008.97
693,6/30/2015,A,90727262.72
693,3/31/2015,A,-7182166.08
695,9/30/2015,A,-13300680.53
695,6/30/2015,A,-3411729.79
695,3/31/2015,A,7770963.78
697,9/30/2015,A,48145281.94
697,6/30/2015,A,24229522.04
697,3/31/2015,A,3913239.14
698,9/30/2015,A,95035724.93
698,6/30/2015,A,-44892094.83
698,3/31/2015,A,-57190648.87
700,9/30/2015,A,258015962.3
700,6/30/2015,A,213199346.4
700,3/31/2015,A,74207391.01
701,9/30/2015,A,90318649.52
701,6/30/2015,A,78086556.33
701,3/31/2015,A,45880811.27
702,9/30/2015,A,8160356.01
702,6/30/2015,A,3532301.2
702,3/31/2015,A,2103607.7
703,9/30/2015,A,2690824.76
703,6/30/2015,A,154993709.5
703,3/31/2015,A,71368759.94
705,9/30/2015,A,7290226.75
705,6/30/2015,A,6671828.16
705,3/31/2015,A,6980767.37
707,9/30/2015,A,8747799.87
707,6/30/2015,A,7893534.22
707,3/31/2015,A,4722299.61
708,9/30/2015,A,205707106.6
708,6/30/2015,A,138772914
708,3/31/2015,A,59868868.78
709,9/30/2015,A,392172792.2
709,6/30/2015,A,301464458.6
709,3/31/2015,A,160989060.2
710,9/30/2015,A,-7681753.31
710,6/30/2015,A,-4834536.07
710,3/31/2015,A,-5524773.7
711,9/30/2015,A,-592248566.8
711,6/30/2015,A,-575573487.4
711,3/31/2015,A,-14951890.06
712,9/30/2015,A,1065622549
712,6/30/2015,A,852050170
712,3/31/2015,A,306732220.3
713,9/30/2015,A,-48152782.34
713,6/30/2015,A,8122676.61
713,3/31/2015,A,20284207.44
715,9/30/2015,A,31570579.94
715,6/30/2015,A,25362839.45
715,3/31/2015,A,11300062.35
716,9/30/2015,A,70526129.81
716,6/30/2015,A,40212997.03
716,3/31/2015,A,30051498.01
717,9/30/2015,A,-1783319959
717,6/30/2015,A,-880029060.6
717,3/31/2015,A,-430958496.5
718,9/30/2015,A,759957678.4
718,6/30/2015,A,320072171.8
718,3/31/2015,A,18885440.59
719,9/30/2015,A,470446307.3
719,6/30/2015,A,327996002.9
719,3/31/2015,A,78875589.27
720,9/30/2015,A,115545749.9
720,6/30/2015,A,93695881.71
720,3/31/2015,A,46868578.37
721,9/30/2015,A,-10291430.31
